BASKET_ITEM;YEAR;PRICE_INDEX
CC13-01134;2023;107,6
CC13-01135;2016;90,8
CC13-01135;2017;99,8
CC13-01135;2018;102,2
CC13-01135;2019;100,1
CC13-01135;2020;100,0
CC13-01135;2021;98,3
CC13-01135;2022;111,1
CC13-01135;2023;125,6
CC13-01136;2016;91,7
CC13-01136;2017;93,6
CC13-01136;2018;94,8
CC13-01136;2019;99,6
CC13-01136;2020;100,0
CC13-01136;2021;103,1
CC13-01136;2022;114,2
CC13-01136;2023;133,0
CC13-0114;2016;87,4
CC13-0114;2017;94,5
CC13-0114;2018;99,4
CC13-0114;2019;99,2
CC13-0114;2020;100,0
CC13-0114;2021;103,9
CC13-0114;2022;124,2
CC13-0114;2023;143,7
CC13-01141;2016;78,8
CC13-01141;2017;92,1
CC13-01141;2018;97,1
CC13-01141;2019;96,2
CC13-01141;2020;100,0
CC13-01141;2021;104,0
CC13-01141;2022;124,8
CC13-01141;2023;136,3
CC13-01142;2016;79,2
CC13-01142;2017;92,5
CC13-01142;2018;96,0
CC13-01142;2019;95,2
CC13-01142;2020;100,0
CC13-01142;2021;104,8
CC13-01142;2022;127,8
CC13-01142;2023;142,1
CC13-01143;2016;82,6
CC13-01143;2017;92,9
CC13-01143;2018;97,9
CC13-01143;2019;98,2
CC13-01143;2020;100,0
CC13-01143;2021;103,4
CC13-01143;2022;128,9
CC13-01143;2023;159,9
CC13-01144;2016;93,4
CC13-01144;2017;97,2
CC13-01144;2018;100,2
CC13-01144;2019;100,9
CC13-01144;2020;100,0
CC13-01144;2021;101,6
CC13-01144;2022;117,7
CC13-01144;2023;134,9
CC13-01145;2016;89,2
CC13-01145;2017;96,0
CC13-01145;2018;99,7
CC13-01145;2019;99,7
CC13-01145;2020;100,0
CC13-01145;2021;103,8
CC13-01145;2022;124,6
CC13-01145;2023;149,1
CC13-01146;2016;80,9
CC13-01146;2017;90,1
CC13-01146;2018;100,7
CC13-01146;2019;101,0
CC13-01146;2020;100,0
CC13-01146;2021;102,7
CC13-01146;2022;122,0
CC13-01146;2023;141,5
CC13-01147;2016;93,6
CC13-01147;2017;93,2
CC13-01147;2018;100,8
CC13-01147;2019;98,3
CC13-01147;2020;100,0
CC13-01147;2021;107,2
CC13-01147;2022;128,0
CC13-01147;2023;136,4
CC13-0115;2016;82,9
CC13-0115;2017;103,0
CC13-0115;2018;111,2
CC13-0115;2019;104,6
CC13-0115;2020;100,0
CC13-0115;2021;105,4
CC13-0115;2022;144,9
CC13-0115;2023;139,9
CC13-01151;2016;73,1
CC13-01151;2017;105,9
CC13-01151;2018;119,0
CC13-01151;2019;107,2
CC13-01151;2020;100,0
CC13-01151;2021;105,1
CC13-01151;2022;146,4
CC13-01151;2023;120,3
CC13-01152;2016;91,5
CC13-01152;2017;94,1
CC13-01152;2018;96,2
CC13-01152;2019;99,7
CC13-01152;2020;100,0
CC13-01152;2021;105,8
CC13-01152;2022;134,2
CC13-01152;2023;162,9
CC13-01153;2016;96,9
CC13-01153;2017;103,0
CC13-01153;2018;106,6
CC13-01153;2019;103,9
CC13-01153;2020;100,0
CC13-01153;2021;101,0
CC13-01153;2022;113,7
CC13-01153;2023;145,0
CC13-01154;2016;107,3
CC13-01154;2017;104,1
CC13-01154;2018;101,4
CC13-01154;2019;100,2
CC13-01154;2020;100,0
CC13-01154;2021;111,1
CC13-01154;2022;183,6
CC13-01154;2023;187,0
CC13-01155;2016;84,3
CC13-01155;2017;95,8
CC13-01155;2018;100,2
CC13-01155;2019;97,9
CC13-01155;2020;100,0
CC13-01155;2021;104,1
CC13-01155;2022;122,5
CC13-01155;2023;131,8
CC13-0116;2016;91,3
CC13-0116;2017;93,2
CC13-0116;2018;96,6
CC13-0116;2019;93,5
CC13-0116;2020;100,0
CC13-0116;2021;101,6
CC13-0116;2022;105,7
CC13-0116;2023;114,4
CC13-01161;2016;89,7
CC13-01161;2017;92,7
CC13-01161;2018;96,4
CC13-01161;2019;92,3
CC13-01161;2020;100,0
CC13-01161;2021;101,6
CC13-01161;2022;105,0
CC13-01161;2023;112,2
CC13-01162;2016;97,1
CC13-01162;2017;96,1
CC13-01162;2018;98,6
CC13-01162;2019;99,1
CC13-01162;2020;100,0
CC13-01162;2021;103,4
CC13-01162;2022;124,8
CC13-01162;2023;131,8
CC13-01163;2016;100,8
CC13-01163;2017;95,2
CC13-01163;2018;95,9
CC13-01163;2019;98,2
CC13-01163;2020;100,0
CC13-01163;2021;100,4
CC13-01163;2022;104,5
CC13-01163;2023;115,8
CC13-01164;2016;90,0
CC13-01164;2017;94,8
CC13-01164;2018;100,7
CC13-01164;2019;98,4
CC13-01164;2020;100,0
CC13-01164;2021;104,6
CC13-01164;2022;114,0
CC13-01164;2023;137,5
CC13-0117;2016;93,2
CC13-0117;2017;93,4
CC13-0117;2018;93,8
CC13-0117;2019;99,7
CC13-0117;2020;100,0
CC13-0117;2021;104,2
CC13-0117;2022;116,7
CC13-0117;2023;132,2
CC13-01171;2016;91,3
CC13-01171;2017;93,9
CC13-01171;2018;94,0
CC13-01171;2019;97,7
CC13-01171;2020;100,0
CC13-01171;2021;104,4
CC13-01171;2022;115,8
CC13-01171;2023;127,3
CC13-01172;2016;93,4
CC13-01172;2017;94,7
CC13-01172;2018;96,1
CC13-01172;2019;97,6
CC13-01172;2020;100,0
CC13-01172;2021;105,0
CC13-01172;2022;113,0
CC13-01172;2023;134,0
CC13-01173;2016;97,3
CC13-01173;2017;94,3
CC13-01173;2018;94,8
CC13-01173;2019;97,7
CC13-01173;2020;100,0
CC13-01173;2021;107,2
CC13-01173;2022;124,3
CC13-01173;2023;149,5
CC13-01174;2016;94,9
CC13-01174;2017;90,2
CC13-01174;2018;91,0
CC13-01174;2019;109,1
CC13-01174;2020;100,0
CC13-01174;2021;100,4
CC13-01174;2022;114,7
CC13-01174;2023;134,7
CC13-01175;2016;97,3
CC13-01175;2017;94,5
CC13-01175;2018;96,1
CC13-01175;2019;101,2
CC13-01175;2020;100,0
CC13-01175;2021;103,8
CC13-01175;2022;118,1
CC13-01175;2023;145,5
CC13-0118;2016;98,8
CC13-0118;2017;99,1
CC13-0118;2018;99,5
CC13-0118;2019;99,1
CC13-0118;2020;100,0
CC13-0118;2021;103,3
CC13-0118;2022;109,8
CC13-0118;2023;127,0
CC13-01181;2016;94,5
CC13-01181;2017;96,2
CC13-01181;2018;91,7
CC13-01181;2019;88,5
CC13-01181;2020;100,0
CC13-01181;2021;104,0
CC13-01181;2022;118,5
CC13-01181;2023;180,6
CC13-01182;2016;99,9
CC13-01182;2017;100,4
CC13-01182;2018;101,3
CC13-01182;2019;100,5
CC13-01182;2020;100,0
CC13-01182;2021;101,6
CC13-01182;2022;112,7
CC13-01182;2023;128,5
CC13-01183;2016;98,2
CC13-01183;2017;98,7
CC13-01183;2018;99,6
CC13-01183;2019;99,8
CC13-01183;2020;100,0
CC13-01183;2021;104,3
CC13-01183;2022;110,1
CC13-01183;2023;126,5
CC13-01184;2016;100,0
CC13-01184;2017;99,7
CC13-01184;2018;99,8
CC13-01184;2019;99,4
CC13-01184;2020;100,0
CC13-01184;2021;103,1
CC13-01184;2022;106,5
CC13-01184;2023;119,8
CC13-01185;2016;97,8
CC13-01185;2017;98,0
CC13-01185;2018;99,1
CC13-01185;2019;99,2
CC13-01185;2020;100,0
CC13-01185;2021;103,3
CC13-01185;2022;108,9
CC13-01185;2023;123,6
CC13-01186;2016;103,3
CC13-01186;2017;103,2
CC13-01186;2018;103,3
CC13-01186;2019;103,0
CC13-01186;2020;100,0
CC13-01186;2021;94,5
CC13-01186;2022;104,2
CC13-01186;2023;119,0
CC13-0119;2016;97,5
CC13-0119;2017;97,9
CC13-0119;2018;98,9
CC13-0119;2019;99,9
CC13-0119;2020;100,0
CC13-0119;2021;101,7
CC13-0119;2022;111,2
CC13-0119;2023;129,5
CC13-01191;2016;95,8
CC13-01191;2017;96,9
CC13-01191;2018;98,8
CC13-01191;2019;99,8
CC13-01191;2020;100,0
CC13-01191;2021;102,4
CC13-01191;2022;115,4
CC13-01191;2023;143,1
CC13-01192;2016;99,0
CC13-01192;2017;99,7
CC13-01192;2018;100,4
CC13-01192;2019;100,5
CC13-01192;2020;100,0
CC13-01192;2021;100,5
CC13-01192;2022;107,5
CC13-01192;2023;118,3
CC13-01193;2016;93,4
CC13-01193;2017;93,7
CC13-01193;2018;92,8
CC13-01193;2019;96,7
CC13-01193;2020;100,0
CC13-01193;2021;104,2
CC13-01193;2022;111,1
CC13-01193;2023;122,2
CC13-01194;2016;100,7
CC13-01194;2017;100,3
CC13-01194;2018;100,3
CC13-01194;2019;101,2
CC13-01194;2020;100,0
CC13-01194;2021;100,7
CC13-01194;2022;105,8
CC13-01194;2023;118,4
CC13-01199;2016;98,1
CC13-01199;2017;97,9
CC13-01199;2018;98,7
CC13-01199;2019;99,8
CC13-01199;2020;100,0
CC13-01199;2021;101,7
CC13-01199;2022;111,3
CC13-01199;2023;127,0
CC13-012;2016;96,2
CC13-012;2017;97,5
CC13-012;2018;99,2
CC13-012;2019;99,0
CC13-012;2020;100,0
